FID,Box,x,y,adj,Species,number,Grid ref,Lat,Lng,NEAR_FID,NEAR_DIST,Bearing
1188,W78,445685,209196,0,G,78,SP4568509196,51.779572,-1.3391942,2019,6.620415791,350
1189,W79,445684,209243,0,G,79,SP4568409243,51.779995,-1.3392025,2022,3.224805333,5
1190,W8,446167,209135,0,G,8,SP4616709135,51.778985,-1.3322162,1638,4.675697493,110
1191,W80,445704,209264,0,G,80,SP4570409264,51.780182,-1.3389099,2022,28.3896748,10
1192,W81,445606,209305,0,G,81,SP4560609305,51.780559,-1.3403249,2041,12.36982941,270
1193,W83,445607,209220,0,G,83,SP4560709220,51.779795,-1.3403216,2545,20.14461325,360
1194,W84,445572,209302,0,G,84,SP4557209302,51.780535,-1.3408181,2040,28.18808305,255
1195,W85,445566,209265,0,G,85,SP4556609265,51.780202,-1.34091,2489,9.412370826,150
1196,W87,445546,209293,0,G,87,SP4554609293,51.780456,-1.3411962,2491,10.27946252,285
1197,W89,445514,209278,0,G,89,SP4551409278,51.780324,-1.341662,2494,12.23009916,230
1198,W9,446181,209100,0,G,9,SP4618109100,51.778669,-1.3320179,1635,18.50731663,150
1199,W91,445496,209237,0,G,91,SP4549609237,51.779956,-1.3419282,2495,22.23279159,145
1200,W92,445495,209196,0,G,92,SP4549509196,51.779588,-1.3419481,2496,8.845414801,340
1201,W93,445509,209147,0,G,93,SP4550909147,51.779146,-1.3417516,2531,10.76730261,285
1202,W94,445546,209132,0,G,94,SP4554609132,51.779008,-1.3412172,2533,8.535484177,315
1203,W95,445509,209119,0,G,95,SP4550909119,51.778894,-1.3417552,2530,4.594506695,30
1204,W96,445493,209138,300,G,96,SP4549309138,51.779067,-1.3419846,2531,7.606185787,310
1205,W97,445487,209093,110,G,97,SP4548709093,51.778662,-1.3420775,2521,14.91593403,110
1206,W98,445459,209115,0,G,98,SP4545909115,51.778863,-1.3424804,2525,18.68327028,210
1207,W99,445380,209051,60,G,99,SP4538009051,51.778294,-1.3436338,2517,4.942809767,310
1208,W99A,445385,209014,0,G,0,SP4538509014,51.77796,-1.3435661,2515,2.05187764,320
